Device Width (px),Container Width (px),H1 Size (px),H2 Size (px),Image Width (px),Button Width (px),Gap (px)
320,288.0,102.0,63.0,110.0,240.0,63.0
375,337.5,119.5,73.9,128.9,281.2,73.9
425,382.5,135.4,83.7,146.1,318.8,83.7
768,614.4,217.6,134.5,234.7,379.7,134.5
1024,819.2,290.1,179.3,312.9,506.3,179.3
1280,791.1,280.1,173.1,302.2,488.9,173.1
1440,890.0,315.1,194.8,339.9,550.0,194.8
1920,1186.6,420.2,259.7,453.3,733.4,259.7
2560,1582.2,560.2,346.3,604.3,977.8,346.3
